1 CHISAMBA,,,,,,,,,,,
"",,,,Votes,registered,Papers,Papers %,Cast,,
"",,,,cast,,,,,,
47 SINDA,,,,,,,,,,
"",BANDA RUPIAH B,MMD,"10,271",86.00,41.69,,,,,
"",SATA MICHAEL C,PF,753,6.00,3.06,,,,,
"",HICHILEMA HAKAINDE,UPND,409,3.00,1.66,,,,,
"",MIYANDA GODFREY K,HERITAGE,126,1.00,0.51,,,,,
Totals for SINDA,,,,,,318,2.68,"11,877","24,635",48.21
48 CHASEFU,,,,,,,,,,
"",BANDA RUPIAH B,MMD,"7,572",62.00,23.69,,,,,
"",SATA MICHAEL C,PF,"2,849",23.00,8.91,,,,,
"",HICHILEMA HAKAINDE,UPND,"1,364",11.00,4.27,,,,,
"",MIYANDA GODFREY K,HERITAGE,196,2.00,0.61,,,,,
Totals for CHASEFU,,,,,,271,2.21,"12,252","31,961",38.33
49 LUMEZI,,,,,,,,,,,
"",,BANDA RUPIAH B,MMD,"6,772",63.00,22.40,,,,,
"",,SATA MICHAEL C,PF,"3,176",30.00,10.50,,,,,
"",,HICHILEMA HAKAINDE,UPND,465,4.00,1.54,,,,,
"",,MIYANDA GODFREY K,HERITAGE,113,1.00,0.37,,,,,
Totals for LUMEZI,,,,,,,177,1.65,"10,703","30,236",35.40
50 LUNDAZI,,,,,,,,,,,
"",,BANDA RUPIAH B,MMD,"12,696",71.00,32.92,,,,,
"",,SATA MICHAEL C,PF,"3,639",20.00,9.43,,,,,
"",,HICHILEMA HAKAINDE,UPND,904,5.00,2.34,,,,,
"",,MIYANDA GODFREY K,HERITAGE,220,1.00,0.57,,,,,
Totals for LUNDAZI,,,,,,,309,1.74,"17,768","38,572",46.06
51 MALAMBO,,,,,,,,,,,
"",,BANDA RUPIAH B,MMD,"5,389",67.00,24.56,,,,,
"",,SATA MICHAEL C,PF,"1,898",24.00,8.65,,,,,
"",,HICHILEMA HAKAINDE,UPND,520,7.00,2.37,,,,,
"",,MIYANDA GODFREY K,HERITAGE,71,1.00,0.32,,,,,
Totals for MALAMBO,,,,,,,118,1.48,"7,996","21,938",36.45
52 NYIMBA,,,,,,,,,,,
"",,BANDA RUPIAH B,MMD,"7,202",76.00,29.04,,,,,
"",,SATA MICHAEL C,PF,"1,590",17.00,6.41,,,,,
"",,HICHILEMA HAKAINDE,UPND,449,5.00,1.81,,,,,
