"","constit","election_type","year","turnout","pct_rejected"
"309","Muchinga","presidential",2015,0.228926963481741,0.010379677683693
"310","Serenje","presidential",2015,0.254068760821172,0.00973520249221184
"311","Chililabombwe","presidential",2015,0.322620266120778,0.0098702763677383
"312","Chingola","presidential",2015,0.324607515805925,0.00765948134369187
"313","Nchanga","presidential",2015,0.359328459247224,0.00602863602110023
"314","Kalulushi","presidential",2015,0.335776177053972,0.0111304564108942
"315","Chimwemwe","presidential",2015,0.383692409678489,0.00984796129923981
"316","Kamfinsa","presidential",2015,0.349318147759628,0.0096954096954097
"317","Kwacha","presidential",2015,0.354511574571777,0.00803598503992722
"318","Nkana","presidential",2015,0.38406242005628,0.00759341903683474
"319","Wusakile","presidential",2015,0.358624425984211,0.00431623624199698
"320","Luanshya","presidential",2015,0.307173110461824,0.0135673204542103
"321","Roan","presidential",2015,0.370716403502724,0.00464986515391054
"322","Lufwanyama","presidential",2015,0.183100687520462,0.0134915474642393
"323","Kafulafuta","presidential",2015,0.24096635388045,0.0109724612736661
"324","Masaiti","presidential",2015,0.24281162279038,0.0145289798468989
"325","Mpongwe","presidential",2015,0.198377410786465,0.00931451026051521
"326","Kankoyo","presidential",2015,0.346641410461897,0.00826677875858204
"327","Kantanshi","presidential",2015,0.341978897853853,0.00678192759575891
"328","Mufulira","presidential",2015,0.315162929533421,0.00924568722516631
"329","Bwana Mkubwa","presidential",2015,0.344043940954343,0.0107097718352957
"330","Chifubu","presidential",2015,0.375078783351619,0.0112646253422952
"331","Kabushi","presidential",2015,0.390691463052725,0.0113938473224459
"332","Ndola Central","presidential",2015,0.355944165621079,0.01305353602115
"333","Chadiza","presidential",2015,0.252929310270827,0.0113694213473613
"334","Chipangali","presidential",2015,0.173657927590512,0.00848310567936736
"335","Chipata Central","presidential",2015,0.29824278899378,0.00843625565229129
"336","Kasenengwa","presidential",2015,0.2084729535663,0.0126291618828932
"337","Luangeni","presidential",2015,0.243008278198613,0.0159147704853347
"338","Milanzi","presidential",2015,0.215354345324275,0.0165488708843303
"339","Mkaika","presidential",2015,0.20689452838492,0.00964265456608054
"340","Chasefu","presidential",2015,0.207722246565456,0.010919468916739
"341","Lumezi","presidential",2015,0.204559948979592,0.0113016367887763
"342","Lundazi","presidential",2015,0.27385431443903,0.012012012012012
"343","Malambo","presidential",2015,0.269311660072007,0.014162806088683
"344","Nyimba","presidential",2015,0.176731418918919,0.00938726745178358
"345","Kaumbwe","presidential",2015,0.184924051259215,0.0222073578595318
"346","Msanzala","presidential",2015,0.177396329027872,0.00977198697068404
"347","Petauke","presidential",2015,0.27241142661062,0.0134624468587624
"348","Sinda","presidential",2015,0.222498600833282,0.0197037451089994
"349","Vubwi","presidential",2015,0.234148500608609,0.0113421550094518
"350","Chienge","presidential",2015,0.138248455145962,0.00816892725030826
"351","Chipili","presidential",2015,0.40969921823241,0.0114812419146184
"352","Kawambwa","presidential",2015,0.330241576272075,0.00698191050460171
"353","Pambashe","presidential",2015,0.310008679975963,0.0133534352789145
"354","Luapula","presidential",2015,0.354560954816709,0.0173118538110123
"355","Bahati","presidential",2015,0.262683795078161,0.0088380862597219
"356","Mansa Central","presidential",2015,0.227574633456986,0.00970270899635178
"357","Milenge","presidential",2015,0.233082706766917,0.014336917562724
"358","Mwansabombwe","presidential",2015,0.252291788570314,0.0115964437572478
"359","Mambilima","presidential",2015,0.288711224816118,0.0077536552946389
"360","Mwense","presidential",2015,0.255031749086011,0.00890297268749057
"361","Nchelenge","presidential",2015,0.180303915838691,0.0122985985317952
"362","Bangweulu","presidential",2015,0.21957671957672,0.0164984261369804
"363","Chifunabuli","presidential",2015,0.280169392523364,0.01125820911081
"364","Chilanga","presidential",2015,0.321433844155077,0.0105640271908874
"365","Chongwe","presidential",2015,0.269105410483531,0.0127529210601311
"366","Kafue","presidential",2015,0.356447089550641,0.0108108108108108
"367","Feira","presidential",2015,0.382415630550622,0.00998606595448212
"368","Chawama","presidential",2015,0.36820361703357,0.0123970184386034
"369","Kabwata","presidential",2015,0.418887760423815,0.00625798630451165
"370","Kanyama","presidential",2015,0.339329071347426,0.0105031673614074
"371","Lusaka Central","presidential",2015,0.416220530043561,0.00579212271311017
"372","Mandevu","presidential",2015,0.372201424062248,0.011118232915886
"373","Matero","presidential",2015,0.39194479938666,0.00959783005581347
"374","Munali","presidential",2015,0.396003999669752,0.00803836174944403
"375","Rufunsa","presidential",2015,0.219443908090365,0.0184777826660801
"376","Mwembezhi","presidential",2015,0.380832021214884,0.0145794799260146
"377","Chama North","presidential",2015,0.281734412676542,0.012685312547761
"378","Chama South","presidential",2015,0.288695982164034,0.00936575747617483
"379","Chinsali","presidential",2015,0.307245726015973,0.0101263179872638
"380","Isoka","presidential",2015,0.259756609315988,0.00895873109120282
"381","Mafinga","presidential",2015,0.252022095087789,0.017351598173516
"382","Kanchibiya","presidential",2015,0.226070260275921,0.0102233406731677
"383","Mfuwe","presidential",2015,0.273983442902362,0.00999777827149522
"384","Mpika","presidential",2015,0.278499378195385,0.00756636070453982
"385","Nakonde","presidential",2015,0.223983357273763,0.0158115877930119
"386","Shiwan'gandu","presidential",2015,0.293711126468556,0.00941176470588235
"387","Chavuma","presidential",2015,0.448492387891713,0.00594373266411306
"388","Ikeleng'i","presidential",2015,0.457872970804271,0.0149636020490698
"389","Kabompo","presidential",2015,0.375199054810705,0.0119112814895947
"390","Kasempa","presidential",2015,0.362312429820681,0.0149323816679189
"391","Manyinga","presidential",2015,0.396083802566834,0.0079405737704918
"392","Mufumbwe","presidential",2015,0.406166716020136,0.00865761414380753
"393","Mwinilunga","presidential",2015,0.450836729385242,0.0121646312145399
"394","Solwezi Central","presidential",2015,0.369741543929969,0.00981795868275721
"395","Solwezi East","presidential",2015,0.20968532496814,0.0133239831697055
"396","Solwezi West","presidential",2015,0.310846918250323,0.0147768978172687
"397","Zambezi East","presidential",2015,0.398023435219549,0.0072289156626506
"398","Zambezi West","presidential",2015,0.416911620615324,0.00329024676850764
"399","Chilubi","presidential",2015,0.324874835309618,0.0135452996998946
