"","constit","election_type","year","turnout","pct_rejected"
"202","Kalulushi","presidential",2016,0.56761077324066,0.0203881711871671
"203","Kamfinsa","presidential",2016,0.547392595341932,0.0145357460694156
"204","Kanchibiya","presidential",2016,0.510866329264662,0.0284488239033694
"205","Kankoyo","presidential",2016,0.549277480110408,0.0206177948566361
"206","Kantanshi","presidential",2016,0.565518023124008,0.0149829625175386
"207","Kanyama","presidential",2016,0.503979500433193,0.0172345973980566
"208","Kaoma Central","presidential",2016,0.54239537788882,0.0237512595364906
"209","Kapiri Mposhi","presidential",2016,0.45577289250476,0.028252521416213
"210","Kapoche","presidential",2016,0.489815498154982,0.0389734317713827
"211","Kaputa","presidential",2016,0.635790464240903,0.0138141990231388
"212","Kasama Central","presidential",2016,0.548007191175574,0.0151241346715227
"213","Kasempa","presidential",2016,0.586761487964989,0.0266175647958232
"214","Kasenengwa","presidential",2016,0.503822461223589,0.0350073678760604
"215","Katombola","presidential",2016,0.68709351574545,0.0269524399050861
"216","Katuba","presidential",2016,0.58412089668082,0.0220415819915585
"217","Kaumbwe","presidential",2016,0.456791651198284,0.0314249593642767
"218","Kawambwa","presidential",2016,0.607293587379635,0.0170703731192227
"219","Keembe","presidential",2016,0.502060639487674,0.032316142813549
"220","Kwacha","presidential",2016,0.534067593753562,0.0184083451164528
"221","Liuwa","presidential",2016,0.690017623363545,0.0138648180242634
"222","Livingstone","presidential",2016,0.6022898857435,0.0116664692644795
"223","Luampa","presidential",2016,0.535990307891549,0.0233826968043648
"224","Luangeni","presidential",2016,0.549759250199552,0.0341435998313896
"225","Luanshya","presidential",2016,0.49657024109458,0.0167395007777202
"226","Luapula","presidential",2016,0.632118451025057,0.0376258611552729
"227","Lubansenshi","presidential",2016,0.601897892009244,0.0246669381581244
"228","Luena","presidential",2016,0.620793531253716,0.0208147107649087
"229","Lufubu","presidential",2016,0.377533039647577,0.0428821470245041
"230","Lufwanyama","presidential",2016,0.404682096302208,0.0366815671838023
"231","Lukashya","presidential",2016,0.496267304486483,0.0221264787498174
"232","Lukulu East","presidential",2016,0.598161086410791,0.0306922182333013
"233","Lumezi","presidential",2016,0.441219127693116,0.0353008432185222
"234","Lundazi","presidential",2016,0.496477697649573,0.0319088127500757
"235","Lunte","presidential",2016,0.48822174077513,0.0198633514122702
"236","Lupososhi","presidential",2016,0.596682110297414,0.0194870253481615
"237","Lusaka Central","presidential",2016,0.607981682997686,0.00803806438550314
"238","Mafinga","presidential",2016,0.553652938597622,0.0334901485863338
"239","Magoye","presidential",2016,0.697832706430235,0.0170687885010267
"240","Malambo","presidential",2016,0.583060494635571,0.0283789037190618
"241","Malole","presidential",2016,0.500733340712863,0.0179059935339468
"242","Mambilima","presidential",2016,0.580811056945412,0.0237963475373547
"243","Mandevu","presidential",2016,0.53938840344149,0.0164987734874049
"244","Mangango","presidential",2016,0.592579169120645,0.0374617737003058
"245","Mansa Central","presidential",2016,0.49263431542461,0.0220215141059468
"246","Manyinga","presidential",2016,0.63006107673017,0.0184246003723438
"247","Mapatizya","presidential",2016,0.766573862226755,0.0258908986299399
"248","Masaiti","presidential",2016,0.477353377637267,0.0272352503885923
"249","Matero","presidential",2016,0.5903548862033,0.0104693000116903
"250","Mazabuka Central","presidential",2016,0.66227796280877,0.0136986301369863
"251","Mbabala","presidential",2016,0.799565008615089,0.0147313385381708
"252","Mbala","presidential",2016,0.472324577043464,0.025291502390739
"253","Mfuwe","presidential",2016,0.635700034064918,0.0195207838934395
"254","Milanzi","presidential",2016,0.531198500662423,0.0523146176774743
"255","Milenge","presidential",2016,0.533737680060652,0.0370332792207792
"256","Mitete","presidential",2016,0.668743580965423,0.0233439131770247
"257","Mkaika","presidential",2016,0.52198256080771,0.0425971513979251
"258","Mkushi North","presidential",2016,0.424039184602565,0.0253067484662577
"259","Mkushi South","presidential",2016,0.581227616394747,0.0316645271715875
"260","Mongu Central","presidential",2016,0.560606060606061,0.0146546546546547
"261","Monze Central","presidential",2016,0.741854723138284,0.0122655122655123
"262","Moomba","presidential",2016,0.76634382566586,0.0156541720522763
"263","Mpika","presidential",2016,0.542246835443038,0.0186752261453166
"264","Mpongwe","presidential",2016,0.445805396953256,0.0296008928096934
"265","Mporokoso","presidential",2016,0.56663644605621,0.0149894736842105
"266","Mpulungu","presidential",2016,0.522508336420897,0.028221946463393
"267","Msanzala","presidential",2016,0.473697486057005,0.035498757543486
"268","Muchinga","presidential",2016,0.441419945461628,0.0366243794815223
"269","Mufulira","presidential",2016,0.515709517781103,0.0225954028118724
"270","Mufumbwe","presidential",2016,0.632524089600801,0.0269561776634682
"271","Mulobezi","presidential",2016,0.620449451814162,0.0497901005564776
"272","Mumbwa","presidential",2016,0.549243772241993,0.0238924435085446
"273","Munali","presidential",2016,0.575503867372682,0.0111999614624982
"274","Mwandi","presidential",2016,0.656355531541267,0.0197571516772999
"275","Mwansabombwe","presidential",2016,0.514474674270326,0.0268647525209761
"276","Mwembezhi","presidential",2016,0.637192118226601,0.0274932354078083
"277","Mwense","presidential",2016,0.541472077879366,0.0200437317784257
"278","Mwinilunga","presidential",2016,0.665996850051594,0.0201147082008209
"279","Nakonde","presidential",2016,0.500350173193769,0.0232276613452372
