"","constit","election_type","year","party","candidate","pct_cast","won"
"294","Kasenengwa","parliamentary",2011,"UNIP","Faiman  Weza",0.00633201798660182,0
"295","Katombola","parliamentary",2011,"UPND","Derick  Livune",0.49733817813081,1
"296","Katombola","parliamentary",2011,"MMD","Bartholomew  Tilasi",0.302349163427413,0
"297","Katombola","parliamentary",2011,"Independent","Elias  Siankombwe",0.0866993408822038,0
"298","Katombola","parliamentary",2011,"Patriotic Front","Pascalina M Balashi",0.0458424877471692,0
"299","Katombola","parliamentary",2011,"UNIP","David  Kwalela",0.0247169173567686,0
"300","Katombola","parliamentary",2011,"ADD","Kennedy  Ngoma",0.0190975156329221,0
"301","Katuba","parliamentary",2011,"MMD","Patrick  Chikusu",0.448067886948594,1
"302","Katuba","parliamentary",2011,"UPND","Jonas  Shakafuswa",0.247633073848096,0
"303","Katuba","parliamentary",2011,"Independent","Derrick  Chakaina",0.146083175538257,0
